cts,date,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D speed) [m/s],GPS (3D speed) [m/s],fix,precision,altitude system
60.977,2023-06-01T03:50:27.584Z,-22.8227647,-47.0646167,621.655,1.294,1.34,3,293,MSLV
115.7311111111111,2023-06-01T03:50:27.709Z,-22.8227647,-47.0646168,621.671,1.259,1.29,3,293,MSLV
170.4852222222222,2023-06-01T03:50:27.834Z,-22.8227648,-47.0646168,621.681,1.238,1.26,3,293,MSLV
225.23933333333332,2023-06-01T03:50:27.959Z,-22.8227649,-47.0646167,621.692,1.22,1.24,3,293,MSLV
279.99344444444444,2023-06-01T03:50:28.085Z,-22.822765,-47.0646168,621.707,1.191,1.22,3,293,MSLV
334.74755555555555,2023-06-01T03:50:28.210Z,-22.8227645,-47.0646163,621.723,1.154,1.19,3,293,MSLV
389.50166666666667,2023-06-01T03:50:28.335Z,-22.822764,-47.0646168,621.729,1.07,1.15,3,293,MSLV
444.2557777777778,2023-06-01T03:50:28.460Z,-22.8227645,-47.0646163,621.73,1.065,1.07,3,293,MSLV
499.0098888888889,2023-06-01T03:50:28.586Z,-22.8227645,-47.064615,621.723,1.056,1.07,3,293,MSLV
553.764,2023-06-01T03:50:28.711Z,-22.8227656,-47.0646149,621.733,1.067,1.06,3,293,MSLV
608.5181111111111,2023-06-01T03:50:28.836Z,-22.8227667,-47.0646147,621.741,1.085,1.07,3,293,MSLV
663.2722222222222,2023-06-01T03:50:28.962Z,-22.8227679,-47.0646146,621.749,1.11,1.09,3,293,MSLV
718.0263333333334,2023-06-01T03:50:29.087Z,-22.8227691,-47.0646154,621.741,1.123,1.11,3,293,MSLV
772.7804444444445,2023-06-01T03:50:29.212Z,-22.8227706,-47.0646145,621.733,1.192,1.12,3,293,MSLV
827.5345555555556,2023-06-01T03:50:29.337Z,-22.8227725,-47.0646131,621.724,1.293,1.19,3,293,MSLV
882.2886666666667,2023-06-01T03:50:29.463Z,-22.8227748,-47.0646114,621.712,1.42,1.29,3,293,MSLV
937.0427777777778,2023-06-01T03:50:29.588Z,-22.8227781,-47.0646094,621.718,1.607,1.42,3,293,MSLV
991.7968888888889,2023-06-01T03:50:29.713Z,-22.8227792,-47.0646082,621.718,1.636,1.61,3,293,MSLV
1046.551,2023-06-01T03:50:29.839Z,-22.8227804,-47.0646072,621.715,1.663,1.64,3,388,MSLV
1101.5623888888888,2023-06-01T03:50:29.894Z,-22.8227816,-47.0646054,621.722,1.697,1.66,3,388,MSLV
1156.5737777777777,2023-06-01T03:50:29.949Z,-22.8227817,-47.0646042,621.738,1.654,1.7,3,388,MSLV
1211.5851666666665,2023-06-01T03:50:30.004Z,-22.8227812,-47.0646026,621.736,1.588,1.66,3,388,MSLV
1266.5965555555554,2023-06-01T03:50:30.059Z,-22.8227808,-47.0646009,621.732,1.539,1.59,3,388,MSLV
1321.6079444444442,2023-06-01T03:50:30.114Z,-22.8227807,-47.0645991,621.719,1.527,1.54,3,388,MSLV
1376.619333333333,2023-06-01T03:50:30.169Z,-22.8227795,-47.0645981,621.701,1.456,1.53,3,388,MSLV
1431.630722222222,2023-06-01T03:50:30.224Z,-22.8227791,-47.0645964,621.687,1.455,1.46,3,388,MSLV
1486.6421111111108,2023-06-01T03:50:30.279Z,-22.8227786,-47.0645932,621.688,1.528,1.46,3,388,MSLV
1541.6534999999997,2023-06-01T03:50:30.334Z,-22.8227782,-47.0645918,621.668,1.535,1.53,3,388,MSLV
1596.6648888888885,2023-06-01T03:50:30.389Z,-22.8227779,-47.0645904,621.649,1.547,1.54,3,388,MSLV
1651.6762777777774,2023-06-01T03:50:30.444Z,-22.822778,-47.0645894,621.633,1.565,1.55,3,388,MSLV
1706.6876666666662,2023-06-01T03:50:30.499Z,-22.8227782,-47.0645883,621.616,1.582,1.57,3,388,MSLV
1761.699055555555,2023-06-01T03:50:30.554Z,-22.8227783,-47.0645872,621.6,1.599,1.58,3,388,MSLV
1816.710444444444,2023-06-01T03:50:30.609Z,-22.8227771,-47.0645875,621.574,1.552,1.6,3,388,MSLV
1871.7218333333328,2023-06-01T03:50:30.664Z,-22.8227775,-47.0645855,621.564,1.615,1.55,3,388,MSLV
1926.7332222222217,2023-06-01T03:50:30.719Z,-22.8227782,-47.0645843,621.541,1.631,1.61,3,388,MSLV
1981.7446111111105,2023-06-01T03:50:30.774Z,-22.8227791,-47.0645827,621.536,1.684,1.63,3,388,MSLV
2036.756,2023-06-01T03:50:30.829Z,-22.82278,-47.0645812,621.53,1.73,1.68,3,501,MSLV
2091.8148333333334,2023-06-01T03:50:30.884Z,-22.8227815,-47.0645783,621.513,1.838,1.73,3,501,MSLV
2146.873666666667,2023-06-01T03:50:30.939Z,-22.8227828,-47.0645769,621.519,1.87,1.84,3,501,MSLV
2201.9325000000003,2023-06-01T03:50:30.994Z,-22.8227844,-47.0645759,621.529,1.899,1.87,3,501,MSLV
2256.991333333334,2023-06-01T03:50:31.049Z,-22.8227855,-47.0645745,621.535,1.928,1.9,3,501,MSLV
2312.0501666666673,2023-06-01T03:50:31.104Z,-22.8227865,-47.0645744,621.562,1.898,1.93,3,501,MSLV
2367.109000000001,2023-06-01T03:50:31.159Z,-22.8227873,-47.0645744,621.587,1.869,1.9,3,501,MSLV
2422.1678333333343,2023-06-01T03:50:31.214Z,-22.822788,-47.0645745,621.613,1.835,1.87,3,501,MSLV
2477.226666666668,2023-06-01T03:50:31.269Z,-22.8227885,-47.0645746,621.644,1.797,1.83,3,501,MSLV
2532.2855000000013,2023-06-01T03:50:31.324Z,-22.8227892,-47.0645739,621.666,1.795,1.8,3,501,MSLV
2587.344333333335,2023-06-01T03:50:31.379Z,-22.8227903,-47.0645729,621.688,1.817,1.8,3,501,MSLV
2642.4031666666683,2023-06-01T03:50:31.434Z,-22.8227916,-47.0645707,621.692,1.885,1.82,3,501,MSLV
2697.462000000002,2023-06-01T03:50:31.489Z,-22.8227929,-47.0645684,621.696,1.951,1.89,3,501,MSLV
2752.5208333333353,2023-06-01T03:50:31.544Z,-22.8227937,-47.0645658,621.693,2.008,1.95,3,501,MSLV
2807.579666666669,2023-06-01T03:50:31.599Z,-22.8227945,-47.0645636,621.685,2.047,2.01,3,501,MSLV
2862.6385000000023,2023-06-01T03:50:31.654Z,-22.8227958,-47.0645616,621.689,2.086,2.05,3,501,MSLV
2917.697333333336,2023-06-01T03:50:31.709Z,-22.8227981,-47.0645587,621.698,2.169,2.09,3,501,MSLV
2972.7561666666693,2023-06-01T03:50:31.764Z,-22.8227988,-47.0645579,621.709,2.15,2.17,3,501,MSLV
3027.815,2023-06-01T03:50:31.819Z,-22.8227995,-47.0645571,621.719,2.13,2.15,3,204,MSLV
3082.8245789473685,2023-06-01T03:50:31.874Z,-22.8228001,-47.0645569,621.734,2.09,2.13,3,204,MSLV
3137.834157894737,2023-06-01T03:50:31.929Z,-22.8228007,-47.0645568,621.75,2.047,2.09,3,204,MSLV
3192.8437368421055,2023-06-01T03:50:31.984Z,-22.8228015,-47.0645558,621.753,2.044,2.05,3,204,MSLV
3247.853315789474,2023-06-01T03:50:32.039Z,-22.8228023,-47.0645547,621.755,2.044,2.04,3,204,MSLV
3302.8628947368425,2023-06-01T03:50:32.094Z,-22.8228026,-47.0645539,621.757,2.01,2.04,3,204,MSLV
3357.872473684211,2023-06-01T03:50:32.149Z,-22.8228037,-47.064554,621.773,1.993,2.01,3,204,MSLV
3412.8820526315794,2023-06-01T03:50:32.204Z,-22.8228048,-47.064554,621.788,1.98,1.99,3,204,MSLV
3467.891631578948,2023-06-01T03:50:32.259Z,-22.8228059,-47.064554,621.802,1.972,1.98,3,204,MSLV
3522.9012105263164,2023-06-01T03:50:32.314Z,-22.8228061,-47.0645546,621.817,1.921,1.97,3,204,MSLV
3577.910789473685,2023-06-01T03:50:32.369Z,-22.8228074,-47.064553,621.823,1.951,1.92,3,204,MSLV
3632.9203684210534,2023-06-01T03:50:32.424Z,-22.8228085,-47.0645511,621.821,1.971,1.95,3,204,MSLV
3687.929947368422,2023-06-01T03:50:32.479Z,-22.8228095,-47.064549,621.819,1.994,1.97,3,204,MSLV
3742.9395263157903,2023-06-01T03:50:32.534Z,-22.82281,-47.0645473,621.816,1.999,2,3,204,MSLV
3797.949105263159,2023-06-01T03:50:32.589Z,-22.8228096,-47.064543,621.781,2.024,2,3,204,MSLV
3852.9586842105273,2023-06-01T03:50:32.644Z,-22.8228107,-47.0645401,621.777,2.1,2.03,3,204,MSLV
3907.9682631578958,2023-06-01T03:50:32.699Z,-22.8228113,-47.0645376,621.775,2.155,2.1,3,204,MSLV
3962.9778421052642,2023-06-01T03:50:32.754Z,-22.8228117,-47.0645373,621.789,2.127,2.16,3,204,MSLV
4017.9874210526327,2023-06-01T03:50:32.809Z,-22.8228126,-47.0645361,621.797,2.136,2.13,3,204,MSLV
4072.997,2023-06-01T03:50:32.864Z,-22.8228126,-47.0645354,621.817,2.106,2.14,3,193,MSLV
4128.331166666667,2023-06-01T03:50:32.919Z,-22.8228127,-47.0645348,621.836,2.076,2.11,3,193,MSLV
4183.665333333333,2023-06-01T03:50:32.974Z,-22.8228127,-47.0645343,621.857,2.044,2.08,3,193,MSLV
4238.9995,2023-06-01T03:50:33.029Z,-22.8228128,-47.0645334,621.875,2.026,2.05,3,193,MSLV
4294.333666666666,2023-06-01T03:50:33.084Z,-22.8228128,-47.0645325,621.894,2.01,2.03,3,193,MSLV
4349.667833333333,2023-06-01T03:50:33.139Z,-22.8228129,-47.0645316,621.912,1.993,2.01,3,193,MSLV
4405.0019999999995,2023-06-01T03:50:33.194Z,-22.8228129,-47.0645307,621.931,1.978,2,3,193,MSLV
4460.336166666666,2023-06-01T03:50:33.249Z,-22.822813,-47.0645298,621.95,1.968,1.98,3,193,MSLV
